NO_KASUS,TAHUN,REGISTER,AGENDA_KE,AGENDA_RAW
2917,2019,018/IV/KIP-PSI/2019,1,2021-05-04 00:00:00
2917,2019,018/IV/KIP-PSI/2019,2,2021-05-18 00:00:00
2917,2019,018/IV/KIP-PSI/2019,3,18/08/2021 (Pembacaan Putusan)
2918,2019,019/IV/KIP-PSI/2019,1,2021-05-21 00:00:00
2918,2019,019/IV/KIP-PSI/2019,2,2021-05-25 00:00:00
2918,2019,019/IV/KIP-PSI/2019,3,2021-06-15 00:00:00
2918,2019,019/IV/KIP-PSI/2019,4,2021-06-28 00:00:00
2918,2019,019/IV/KIP-PSI/2019,5,2021-08-12 00:00:00
2918,2019,019/IV/KIP-PSI/2019,6,2021-08-30 00:00:00
2918,2019,019/IV/KIP-PSI/2019,7,2021-09-07 00:00:00
2918,2019,019/IV/KIP-PSI/2019,8,15/10/2021 (Pembacaan Putusan)
2919,2019,020/IV/KIP-PSI/2019,1,2021-05-21 00:00:00
2919,2019,020/IV/KIP-PSI/2019,2,2021-05-25 00:00:00
2919,2019,020/IV/KIP-PSI/2019,3,2021-06-15 00:00:00
2919,2019,020/IV/KIP-PSI/2019,4,2021-06-28 00:00:00
2919,2019,020/IV/KIP-PSI/2019,5,2021-08-12 00:00:00
2919,2019,020/IV/KIP-PSI/2019,6,2021-08-30 00:00:00
2919,2019,020/IV/KIP-PSI/2019,7,2021-09-07 00:00:00
2919,2019,020/IV/KIP-PSI/2019,8,15/10/2021 (Pembacaan Putusan)
2920,2019,021/V/KIP-PSI/2019,1,18/12/2020 (PEMERIKSAAN AWAL)
2920,2019,021/V/KIP-PSI/2019,2,11/01/2021 (MEDIASI I)
2920,2019,021/V/KIP-PSI/2019,3,22/01/2021 (MEDIASI II)
2920,2019,021/V/KIP-PSI/2019,4,25/01/2021 (PEMBACAAN PUTUSAN)
2922,2019,023/V/KIP-PSI/2019,1,2020-03-13 00:00:00
2923,2019,024/V/KIP-PSI/2019,1,25/08/2025 (Pemeriksaan Awal)
2924,2019,025/V/KIP-PSI/2019,1,23/01/2020 (Pemeriksaan Awal)
2924,2019,025/V/KIP-PSI/2019,2,11/02/2020 (Mediasi I)
2924,2019,025/V/KIP-PSI/2019,3,13/02/2020 (Kaukus Pemohon)
2924,2019,025/V/KIP-PSI/2019,4,19/02/2020 (Kaukus Termohon)
2924,2019,025/V/KIP-PSI/2019,5,26/02/2020 (MediasiII)
2924,2019,025/V/KIP-PSI/2019,6,20/07/2020 (LANJUTAN)
2924,2019,025/V/KIP-PSI/2019,7,2020-07-30 00:00:00
2924,2019,025/V/KIP-PSI/2019,8,13 Agustus 2020 (P.Putusan)
2927,2019,028/V/KIP-PSI/2019,1,2020-03-11 00:00:00
2927,2019,028/V/KIP-PSI/2019,2,2020-08-28 00:00:00
2927,2019,028/V/KIP-PSI/2019,3,08/09/2020 (mediasi sepakat)
2927,2019,028/V/KIP-PSI/2019,4,15/09/2020 (Putusan Mediasi)
2928,2019,029/VI/KIP-PS/2019,1,2020-03-16 00:00:00
2928,2019,029/VI/KIP-PS/2019,2,2020-09-01 00:00:00
2928,2019,029/VI/KIP-PS/2019,3,2020-09-07 00:00:00
2928,2019,029/VI/KIP-PS/2019,4,2020-09-24 00:00:00
2928,2019,029/VI/KIP-PS/2019,5,2020-10-16 00:00:00
2928,2019,029/VI/KIP-PS/2019,6,12/11/2020 (Pembacaan Putusan)
2931,2019,033/VII/KIP-PS/2019,1,2020-03-11 00:00:00
2931,2019,033/VII/KIP-PS/2019,2,2020-09-23 00:00:00
2932,2019,034/VII/KIP-PS/2019,1,26 Agustus 2025 (Pembacaan Putusan)
